,Unnamed: 0,Woonplaatsen,Provincie,Landsdeel,Gemeente,Lattitude,Longitude,Population,Coordinates
688,703,Beuningen ,Gelderland,Oost-Nederland           ,Beuningen                          ,51.85,5.75,26054,"51° 51′ NB, 5° 45′ OL"
701,717,Culemborg,Gelderland,Oost-Nederland           ,Culemborg                          ,51.95,5.233333333333333,29020,"['51° 57′ NB, 5° 14′ OL']"
706,722,Didam,Gelderland,Oost-Nederland           ,Montferland                        ,51.95,6.133333333333334,17010,"['51° 57′ NB, 6° 8′ OL']"
707,723,Dieren,Gelderland,Oost-Nederland           ,Rheden                             ,52.05,6.1,13795,"['52° 3′ NB, 6° 6′ OL']"
710,726,Doesburg,Gelderland,Oost-Nederland           ,Doesburg                           ,52.01666666666666,6.133333333333334,11028,"52° 1′ NB, 6° 8′ OL"
711,727,Doetinchem,Gelderland,Oost-Nederland           ,Doetinchem                         ,51.96666666666667,6.283333333333332,45025,"['51° 58′ NB, 6° 17′ OL']"
718,734,Druten,Gelderland,Oost-Nederland           ,Druten                             ,51.88333333333333,5.6,18973,"['51° 53′ NB, 5° 36′ OL']"
719,735,Duiven,Gelderland,Oost-Nederland           ,Duiven                             ,51.95,6.016666666666668,22205,"['51° 57′ NB, 6° 1′ OL']"
722,738,Ede,Gelderland,Oost-Nederland           ,Ede                                ,52.05,5.666666666666668,74280,"['52° 3′ NB, 5° 40′ OL']"
726,742,Eibergen,Gelderland,Oost-Nederland           ,Berkelland                         ,52.1,6.65,11265,"[""52°6'NB, 6°39'OL""]"
727,743,Elburg,Gelderland,Oost-Nederland           ,Elburg                             ,52.45,5.85,12100,"['52° 27′ NB, 5° 51′ OL']"
730,746,Elst,Gelderland,Oost-Nederland           ,Overbetuwe                         ,51.91666666666666,5.833333333333332,22160,"['51° 55′ NB, 5° 50′ OL']"
734,750,Epe,Gelderland,Oost-Nederland           ,Epe                                ,52.35,5.9833333333333325,15570,"['52° 21′ NB, 5° 59′ OL']"
738,754,Ermelo,Gelderland,Oost-Nederland           ,Ermelo                             ,52.3,5.633333333333333,26858,"['52° 18′ NB, 5° 38′ OL']"
